LOINC Code;LOINC Label                                                                                                              ;Relation;Local Code;Local Label                                                    ;UCUM Unit      ;Unit Conversion        ;Local Unit;Molecular weight (g/mol);OK/Not OK;Comments
83082-8   ;Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay                                                           ;=       ;861       ;CA 125-II (Fa.Roche).Serum .ECLIA                              ;U/mL           ;x*1.0                  ;IU/ml     ;                        ;         ;
28652-6   ;Heparinoid [Units/volume] in Platelet poor plasma by Chromogenic method                                                  ;>       ;983       ;Orgaran® (Danaparoid-Na) anti Xa.Citrat .photometrisch         ;[arb'U]/mL     ;x*1.0                  ;IU/ml     ;                        ;         ;
48065-7   ;Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma                                                                 ;=       ;984       ;D-Dimere.Citrat .Turbidimetrie-Latex                           ;ng/mL{FEU}     ;x*1000.0               ;mg/lFEU   ;                        ;         ;
2284-8    ;Folate [Mass/volume] in Serum or Plasma                                                                                  ;=       ;864       ;Folsäure.Serum .ECLIA                                          ;ng/mL          ;x*0.4413975            ;nmol/l    ;441,3975                ;         ;
14732-2   ;Folate [Moles/volume] in Serum or Plasma                                                                                 ;=       ;864       ;Folsäure.Serum .ECLIA                                          ;nmol/L         ;x*1.0                  ;nmol/l    ;441,3975                ;         ;
5803-2    ;pH of Urine by Test strip                                                                                                ;=       ;501       ;pH.Spontanurin .Teststreifen                                   ;[pH]           ;x*1.0                  ;          ;                        ;         ;
83102-4   ;IgE [Units/volume] in Serum or Plasma by Immunoassay                                                                     ;=       ;865       ;IgE.Serum .ECLIA                                               ;k[IU]/L        ;x*1.0                  ;IU/ml     ;                        ;         ;
46266-3   ;Myeloperoxidase Ab [Units/volume] in Serum by Immunoassay                                                                ;=       ;5401      ;p-ANCA (MPO).Serum .FEIA                                       ;[arb'U]/mL     ;x*1.0                  ;U/ml      ;                        ;         ;
3182-3    ;Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay                                                                ;=       ;5402      ;Cardiolipin AK IgM.Serum .FEIA                                 ;[MPL'U]        ;x*1.0                  ;U/ml      ;                        ;         ;
2147-7    ;Cortisol Free [Mass/time] in 24 hour Urine                                                                               ;=       ;625       ;freies Cortisol/Tag.Sammelurin .berechnet                      ;ug/(24.h)      ;x*1.0                  ;µg/d      ;                        ;         ;
14676-1   ;Cortisol Free [Moles/time] in 24 hour Urine                                                                              ;=       ;625       ;freies Cortisol/Tag.Sammelurin .berechnet                      ;nmol/(24.h)    ;x*2.75892588           ;µg/d      ;                        ;         ;
83086-9   ;Choriogonadotropin [Units/volume] in Serum or Plasma by Immunoassay                                                      ;~       ;867       ;HCG + ß-HCG (Fa. Roche).Serum .ECLIA                           ;m[IU]/mL       ;x*1.0                  ;IU/l      ;                        ;         ;
20408-1   ;Leukocytes [#/volume] in Urine by Test strip                                                                             ;=       ;504       ;Leukozyten.Spontanurin .Teststreifen                           ;/uL            ;Unknown conversion     ;          ;                        ;         ;
56536-6   ;Thyroglobulin Ab [Units/volume] in Serum or Plasma by Immunoassay                                                        ;=       ;988       ;Thyreoglobulin-Antikörper, Roche.Serum .ECLIA                  ;               ;Unknown conversion     ;IU/ml     ;                        ;         ;
49002-9   ;Albumin [Mass/time] in Urine collected for unspecified duration                                                          ;=       ;626       ;Albumin/Minute.Sammelurin .berechnet                           ;               ;Unknown conversion     ;µg/min    ;                        ;         ;
3181-5    ;Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay                                                                ;=       ;5403      ;Cardiolipin AK IgG.Serum .FEIA                                 ;[GPL'U]        ;x*1.0                  ;U/ml      ;                        ;         ;
5792-7    ;Glucose [Mass/volume] in Urine by Test strip                                                                             ;=       ;505       ;Glucose.Spontanurin .Teststreifen                              ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
22705-8   ;Glucose [Moles/volume] in Urine by Test strip                                                                            ;=       ;505       ;Glucose.Spontanurin .Teststreifen                              ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
47275-3   ;S100 calcium binding protein B [Mass/volume] in Serum                                                                    ;=       ;868       ;S100 (A1B+BB) (Fa. Roche).Serum .ECLIA                         ;ug/L           ;x*1.0                  ;µg/l      ;                        ;         ;
44449-7   ;Beta 2 glycoprotein 1 IgM Ab [Units/volume] in Serum or Plasma by Immunoassay                                            ;=       ;5404      ;B2-Glycoprotein AK IgM.Serum .FEIA                             ;[arb'U]/mL     ;x*1.0                  ;U/ml      ;                        ;         ;
2514-8    ;Ketones [Presence] in Urine by Test strip                                                                                ;=       ;506       ;Keton.Spontanurin .Teststreifen                                ;               ;                       ;          ;                        ;         ;
44448-9   ;Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum or Plasma by Immunoassay                                            ;=       ;5405      ;B2-Glycoprotein AK IgG.Serum .FEIA                             ;[arb'U]/mL     ;x*1.0                  ;U/ml      ;                        ;         ;
5818-0    ;Urobilinogen [Presence] in Urine by Test strip                                                                           ;=       ;507       ;Urobilinogen.Spontanurin .Teststreifen                         ;               ;                       ;          ;                        ;         ;
32218-0   ;Cyclic citrullinated peptide Ab [Units/volume] in Serum by Immunoassay                                                   ;=       ;5406      ;cycl. citrullierendes Peptid AK.Serum .FEIA                    ;[arb'U]/mL     ;x*1.0                  ;U/ml      ;                        ;         ;
5802-4    ;Nitrite [Presence] in Urine by Test strip                                                                                ;=       ;508       ;Nitrit.Spontanurin .Teststreifen                               ;               ;                       ;          ;                        ;         ;
5802-4    ;Nitrite [Presence] in Urine by Test strip                                                                                ;=       ;509       ;Nitrit.Sammelurin .Teststreifen                                ;               ;                       ;          ;                        ;         ;
26975-3   ;SCL-70 extractable nuclear Ab [Units/volume] in Serum by Immunoassay                                                     ;=       ;5408      ;Scl-70-AK.Serum .FEIA                                          ;               ;Unknown conversion     ;U/ml      ;                        ;         ;
25638-8   ;Eosinophil cationic protein (ECP) [Mass/volume] in Serum                                                                 ;=       ;5420      ;Eosinophil Cationic Protein(ECP).Serum .FEIA                   ;ug/L           ;x*1.0                  ;µg/l      ;                        ;         ;
6103-6    ;Echinococcus sp IgE Ab [Units/volume] in Serum                                                                           ;=       ;5421      ;IgE/p2-Echinococcus.Serum .FEIA                                ;k[IU]/L        ;x*1.0                  ;kU/l      ;                        ;         ;
59394-7   ;Glomerular basement membrane Ab [Units/volume] in Serum by Immunoassay                                                   ;=       ;5422      ;glomeruläre Basalmembran-AK.Serum .FEIA                        ;[arb'U]/mL     ;x*1.0                  ;U/ml      ;                        ;         ;
2344-0    ;Glucose [Mass/volume] in Body fluid                                                                                      ;>       ;5301      ;Glucose.Sondermaterial .Glucose-Oxidase                        ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
14745-4   ;Glucose [Moles/volume] in Body fluid                                                                                     ;>       ;5301      ;Glucose.Sondermaterial .Glucose-Oxidase                        ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
76625-3   ;Alanine aminotransferase [Enzymatic activity/volume] in Blood                                                            ;=       ;10019     ;ALT.Li-Heparin .photometrisch                                  ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
1920-8    ;Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma                                                ;~       ;10018     ;AST.Li-Heparin .photometrisch                                  ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
2697-1    ;Osteocalcin [Mass/volume] in Serum or Plasma                                                                             ;=       ;870       ;N-MID-Osteocalcin.Serum .ECLIA                                 ;ug/L           ;x*1.0                  ;µg/l      ;5800                    ;         ;
15084-7   ;Osteocalcin [Moles/volume] in Serum or Plasma                                                                            ;=       ;870       ;N-MID-Osteocalcin.Serum .ECLIA                                 ;pmol/L         ;x*172.41379310344826   ;µg/l      ;5800                    ;         ;
77370-5   ;Procollagen type I.N-terminal propeptide [Mass/volume] in Serum or Plasma by Immunoassay                                 ;=       ;871       ;Prokollagen-Typ-1-AT-Peptid.Serum .ECLIA                       ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
15061-5   ;Erythropoietin (EPO) [Units/volume] in Serum or Plasma                                                                   ;=       ;993       ;Erythropoietin.Serum .EIA                                      ;[IU]/L         ;x*1.0                  ;mIU/ml    ;                        ;         ;
41171-0   ;Collagen crosslinked C-telopeptide [Mass/volume] in Serum or Plasma                                                      ;~       ;872       ;ß-Crosslaps.Serum .ECLIA                                       ;pg/mL          ;x*1000.0               ;µg/l      ;9000                    ;         ;
53092-3   ;Collagen crosslinked C-telopeptide [Moles/volume] in Serum or Plasma                                                     ;~       ;872       ;ß-Crosslaps.Serum .ECLIA                                       ;umol/L         ;x*1.1111111111111112E-4;µg/l      ;9000                    ;         ;
1747-5    ;Albumin [Mass/volume] in Body fluid                                                                                      ;=       ;631       ;Albumin.Liquor .photometrisch                                  ;g/dL           ;x*1.0E-4               ;mg/l      ;66500                   ;         ;
20568-2   ;Prolactin [Mass/volume] in Serum or Plasma by Immunoassay                                                                ;=       ;873       ;Prolactin.Serum .ECLIA                                         ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
2484-4    ;Insulin-like growth factor-I [Mass/volume] in Serum or Plasma                                                            ;=       ;874       ;IGF-1 (DPC).Serum .CLIA                                        ;ng/mL          ;x*1.0                  ;ng/ml     ;7649                    ;         ;
29775-4   ;Insulin-like growth factor-I [Moles/volume] in Serum or Plasma                                                           ;=       ;874       ;IGF-1 (DPC).Serum .CLIA                                        ;nmol/L         ;x*0.13073604392731078  ;ng/ml     ;7649                    ;         ;
15183-7   ;IgG [Mass/volume] in Body fluid                                                                                          ;=       ;632       ;IgG.Liquor .Nephelometrie                                      ;mg/dL          ;x*0.1                  ;mg/l      ;150000                  ;         ;
2483-6    ;Insulin-like growth factor binding protein 3 [Mass/volume] in Serum or Plasma                                            ;=       ;875       ;IGFBP-3 (DPC).Serum .CLIA                                      ;ng/mL          ;x*1.0                  ;ng/ml     ;31674                   ;         ;
33808-7   ;Insulin-like growth factor binding protein 3 [Moles/volume] in Serum or Plasma                                           ;=       ;875       ;IGFBP-3 (DPC).Serum .CLIA                                      ;nmol/L         ;x*0.031571636042179704 ;ng/ml     ;31674                   ;         ;
13590-5   ;Activated protein C resistance [Time Ratio] in Platelet poor plasma by Coagulation assay                                 ;=       ;876       ;APC-Resistenz.Citrat .photometrisch                            ;{ratio}        ;x*1.0                  ;Ratio     ;                        ;         ;
25145-4   ;Bacteria [Presence] in Urine sediment by Light microscopy                                                                ;=       ;513       ;Bakterien.Spontanurin .Mikroskopie                             ;               ;                       ;          ;                        ;         ;
2345-7    ;Glucose [Mass/volume] in Serum or Plasma                                                                                 ;=       ;10011     ;Glucose.Li-Heparin .Hexokinase                                 ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
14749-6   ;Glucose [Moles/volume] in Serum or Plasma                                                                                ;=       ;10011     ;Glucose.Li-Heparin .Hexokinase                                 ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
57662-9   ;U1 small nuclear ribonucleoprotein Ab [Units/volume] in Serum by Immunoassay                                             ;=       ;5412      ;U1 RNP-AK (RNP70kDA,RNP-A,RNP-C).Serum .FEIA                   ;               ;Unknown conversion     ;U/ml      ;                        ;         ;
3084-1    ;Urate [Mass/volume] in Serum or Plasma                                                                                   ;=       ;10010     ;Harnsäure.Li-Heparin .photometrisch                            ;mg/dL          ;x*0.016811026000000003 ;µmol/l    ;168,11026               ;         ;
14933-6   ;Urate [Moles/volume] in Serum or Plasma                                                                                  ;=       ;10010     ;Harnsäure.Li-Heparin .photometrisch                            ;umol/L         ;x*1.0                  ;µmol/l    ;168,11026               ;         ;
17032-4   ;Jo-1 extractable nuclear Ab [Units/volume] in Serum by Immunofluorescence                                                ;=       ;5413      ;Jo-1-AK.Serum .FEIA                                            ;               ;Unknown conversion     ;U/ml      ;                        ;         ;
1968-7    ;Bilirubin.direct [Mass/volume] in Serum or Plasma                                                                        ;=       ;10013     ;Bilirubin direkt.Li-Heparin .photometrisch                     ;mg/dL          ;Unknown conversion     ;µmol/l    ;                        ;         ;
14629-0   ;Bilirubin.direct [Moles/volume] in Serum or Plasma                                                                       ;=       ;10013     ;Bilirubin direkt.Li-Heparin .photometrisch                     ;umol/L         ;x*1.0                  ;µmol/l    ;                        ;         ;
82391-4   ;Centromere protein B Ab [Units/volume] in Serum by Immunoassay                                                           ;=       ;5414      ;Centromer-AK (CENP-B).Serum .FEIA                              ;[arb'U]/mL     ;x*1.0                  ;U/ml      ;                        ;         ;
5048-4    ;Nuclear Ab [Titer] in Serum by Immunofluorescence                                                                        ;=       ;5415      ;Antinukleäre-AK IFT-Titer*.Serum .FEIA                         ;{titer}        ;x*1.0                  ;Titer     ;                        ;         ;
1975-2    ;Bilirubin.total [Mass/volume] in Serum or Plasma                                                                         ;=       ;10012     ;Bilirubin gesamt.Li-Heparin .photometrisch                     ;mg/dL          ;Unknown conversion     ;µmol/l    ;                        ;         ;
14631-6   ;Bilirubin.total [Moles/volume] in Serum or Plasma                                                                        ;=       ;10012     ;Bilirubin gesamt.Li-Heparin .photometrisch                     ;umol/L         ;x*1.0                  ;µmol/l    ;                        ;         ;
2098-2    ;Cholinesterase [Enzymatic activity/volume] in Serum or Plasma                                                            ;=       ;10015     ;Cholinesterase.Li-Heparin .photometrisch                       ;U/L            ;x*1000.0               ;kU/l      ;                        ;         ;
5792-7    ;Glucose [Mass/volume] in Urine by Test strip                                                                             ;=       ;519       ;Glucose/Teststreifen.Sammelurin .Teststreifen                  ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
22705-8   ;Glucose [Moles/volume] in Urine by Test strip                                                                            ;=       ;519       ;Glucose/Teststreifen.Sammelurin .Teststreifen                  ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
34908-4   ;Neopterin [Mass/volume] in Serum or Plasma                                                                               ;=       ;5418      ;Neopterin.Serum .ELISA                                         ;ng/mL          ;x*0.253218             ;nmol/l    ;253,218                 ;         ;
9740-2    ;Neopterin [Moles/volume] in Serum or Plasma                                                                              ;=       ;5418      ;Neopterin.Serum .ELISA                                         ;nmol/L         ;x*1.0                  ;nmol/l    ;253,218                 ;         ;
54910-5   ;DNA double strand Ab [Units/volume] in Serum by Immunofluorescence                                                       ;=       ;5419      ;ds-DNA-AK.Serum .FEIA                                          ;               ;Unknown conversion     ;IU/ml     ;                        ;         ;
50956-2   ;HLA-B*57:01 [Presence]                                                                                                   ;=       ;5431      ;HLA B*5701.EDTA .PCR                                           ;               ;                       ;          ;                        ;         ;
2324-2    ;Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma                                                ;=       ;10020     ;GGT.Li-Heparin .photometrisch                                  ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
2339-0    ;Glucose [Mass/volume] in Blood                                                                                           ;=       ;10262     ;Glucose.Na-Fluorid .Hexokinase                                 ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
15074-8   ;Glucose [Moles/volume] in Blood                                                                                          ;=       ;10262     ;Glucose.Na-Fluorid .Hexokinase                                 ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
2840-7    ;Proinsulin [Mass/volume] in Serum or Plasma                                                                              ;=       ;5311      ;Proinsulin.Serum .EIA                                          ;ug/dL          ;x*9.39E-4              ;pmol/l    ;9390                    ;         ;
27882-0   ;Proinsulin [Moles/volume] in Serum or Plasma                                                                             ;=       ;5311      ;Proinsulin.Serum .EIA                                          ;pmol/L         ;x*1.0                  ;pmol/l    ;9390                    ;         ;
59261-8   ;Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol                                                                ;=       ;5433      ;HbA1c (IFCC-Standardisierung).EDTA (NZ) .HPLC                  ;%              ;x*0.1                  ;mmol/mol  ;                        ;         ;
71689-4   ;Mononuclear cells [#/volume] in Body fluid by Automated count                                                            ;=       ;1076      ;Mononukleäre Zellen absolut.Liquor .optisch, Lasertechnol.     ;10*3/uL        ;x*0.001                ;Zell./µl  ;                        ;         ;
71697-7   ;Mononuclear cells/100 leukocytes in Body fluid by Automated count                                                        ;=       ;1075      ;Mononukleäre Zellen relativ.Liquor .optisch, Lasertechnol.     ;%              ;x*1.0                  ;%         ;                        ;         ;
71698-5   ;Polymorphonuclear cells [#/volume] in Body fluid by Automated count                                                      ;=       ;1074      ;Polymorphnukleäre Zellen absolut.Liquor .optisch, Lasertechnol.;10*3/uL        ;x*0.001                ;Zell./µl  ;                        ;         ;
71696-9   ;Polymorphonuclear cells/100 leukocytes in Body fluid by Automated count                                                  ;=       ;1073      ;Polymorphnukleäre Zellen relativ.Liquor .optisch, Lasertechnol.;%              ;x*1.0                  ;%         ;                        ;         ;
26455-6   ;Erythrocytes [#/volume] in Body fluid                                                                                    ;=       ;1072      ;Erythrozyten.Liquor .optisch, Lasertechnol.                    ;10*3/uL        ;x*1000.0               ;Tera/l    ;                        ;         ;
55793-4   ;Nucleated cells [#/volume] in Body fluid                                                                                 ;=       ;1071      ;Zellen kernhaltig.Liquor .optisch, Lasertechnol.               ;10*3/uL        ;x*0.001                ;Zell./µl  ;                        ;         ;
57845-0   ;Leukocytes [#/volume] in Body fluid by Automated count                                                                   ;=       ;1070      ;Leukozyten.Liquor .optisch, Lasertechnol.                      ;10*3/uL        ;x*0.001                ;Zell./µl  ;                        ;         ;
77146-9   ;Amylase [Enzymatic activity/volume] in Serum, Plasma or Blood                                                            ;=       ;10029     ;Amylase.Li-Heparin .photometrisch                              ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
2232-7    ;Epinephrine [Mass/time] in 24 hour Urine                                                                                 ;=       ;640       ;Adrenalin Ausscheidung.Sammelurin sauer.berechnet              ;ug/(24.h)      ;x*1.0                  ;µg/d      ;                        ;         ;
14712-4   ;Epinephrine [Moles/time] in 24 hour Urine                                                                                ;=       ;640       ;Adrenalin Ausscheidung.Sammelurin sauer.berechnet              ;nmol/(24.h)    ;x*5.45830672           ;µg/d      ;                        ;         ;
35741-8   ;Prostate specific Ag [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL                                   ;=       ;882       ;PSA hochsensitiv (Fa. Roche).Serum .ECLIA                      ;ug/L           ;x*1.0                  ;µg/l      ;34000                   ;         ;
30405-5   ;Leukocytes [#/volume] in Urine                                                                                           ;=       ;762       ;Leukozyten.Spontanurin .                                       ;/uL            ;x*1.0                  ;Zell./µl  ;                        ;         ;
30391-7   ;Erythrocytes [#/volume] in Urine                                                                                         ;=       ;763       ;Erythrozyten.Spontanurin .                                     ;/uL            ;x*1.0                  ;Zell./µl  ;                        ;         ;
2668-2    ;Norepinephrine [Mass/time] in 24 hour Urine                                                                              ;=       ;642       ;Noradrenalin Ausscheidung.Sammelurin sauer.berechnet           ;ug/(24.h)      ;x*1.0                  ;µg/d      ;                        ;         ;
14854-4   ;Norepinephrine [Moles/time] in 24 hour Urine                                                                             ;=       ;642       ;Noradrenalin Ausscheidung.Sammelurin sauer.berechnet           ;nmol/(24.h)    ;x*5.910864             ;µg/d      ;                        ;         ;
25145-4   ;Bacteria [Presence] in Urine sediment by Light microscopy                                                                ;=       ;764       ;Bakterien.Spontanurin .                                        ;               ;                       ;          ;                        ;         ;
48344-6   ;Activated clotting time (ACT) of Platelet poor plasma by Kaolin induced method                                           ;=       ;885       ;Kaolinzeit.Citrat .Turbidimetrie                               ;s              ;x*1.0                  ;sec.      ;                        ;         ;
2218-6    ;Dopamine [Mass/time] in 24 hour Urine                                                                                    ;=       ;644       ;Dopamin Ausscheidung.Sammelurin sauer.berechnet                ;ug/(24.h)      ;x*1.0                  ;µg/d      ;                        ;         ;
15059-9   ;Dopamine [Moles/time] in 24 hour Urine                                                                                   ;=       ;644       ;Dopamin Ausscheidung.Sammelurin sauer.berechnet                ;nmol/(24.h)    ;x*6.52822478           ;µg/d      ;                        ;         ;
48986-4   ;Glucose [Mass/volume] in Serum or Plasma --8 AM specimen                                                                 ;~       ;403       ;Glucose Tagesprofil 7.30 Uhr.BZ 07:30 .Glucose-Oxidase         ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
45053-6   ;Glucose [Moles/volume] in Serum or Plasma --8 AM specimen                                                                ;~       ;403       ;Glucose Tagesprofil 7.30 Uhr.BZ 07:30 .Glucose-Oxidase         ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
14804-9   ;Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction                     ;=       ;10022     ;LDH.Li-Heparin .photometrisch                                  ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
69423-2   ;Rosner index in Platelet poor plasma by Coagulation assay                                                                ;=       ;888       ;Rosner-Index.Citrat .berechnet                                 ;%              ;x*100.0                ;Ratio     ;                        ;         ;
3122-9    ;Vanillylmandelate [Mass/time] in 24 hour Urine                                                                           ;=       ;646       ;Vanillinmandelsäure Ausscheidung.Sammelurin sauer.berechnet    ;mg/(24.h)      ;x*1.0                  ;mg/d      ;198,174                 ;         ;
14947-6   ;Vanillylmandelate [Moles/time] in 24 hour Urine                                                                          ;=       ;646       ;Vanillinmandelsäure Ausscheidung.Sammelurin sauer.berechnet    ;umol/(24.h)    ;x*5.04607              ;mg/d      ;198,174                 ;         ;
2157-6    ;Creatine kinase [Enzymatic activity/volume] in Serum or Plasma                                                           ;=       ;10021     ;CK.Li-Heparin .photometrisch                                   ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
2339-0    ;Glucose [Mass/volume] in Blood                                                                                           ;=       ;10263     ;Glucose.Na-Fluorid .Hexokinase                                 ;mg/dL          ;x*1.0                  ;mg/dl     ;180,15588               ;         ;
15074-8   ;Glucose [Moles/volume] in Blood                                                                                          ;=       ;10263     ;Glucose.Na-Fluorid .Hexokinase                                 ;mmol/L         ;x*0.05550748607261667  ;mg/dl     ;180,15588               ;         ;
2367-1    ;Glutamate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma                                                   ;=       ;10024     ;GLDH.Li-Heparin .photometrisch                                 ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
2436-4    ;Homovanillate [Mass/time] in 24 hour Urine                                                                               ;=       ;648       ;Homovanillinsäure Ausscheidung.Sammelurin sauer.berechnet      ;mg/(24.h)      ;x*1.0                  ;mg/d      ;182,175                 ;         ;
14783-5   ;Homovanillate [Moles/time] in 24 hour Urine                                                                              ;=       ;648       ;Homovanillinsäure Ausscheidung.Sammelurin sauer.berechnet      ;umol/(24.h)    ;x*5.489227             ;mg/d      ;182,175                 ;         ;
48425-3   ;Troponin T.cardiac [Mass/volume] in Blood                                                                                ;=       ;5425      ;Troponin T STAT.Li-Heparin .                                   ;ug/L           ;x*0.001                ;pg/ml     ;                        ;         ;
49551-5   ;Creatine kinase.MB [Mass/volume] in Blood                                                                                ;=       ;10023     ;CK-MB (Masse).Li-Heparin .ECLIA                                ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
1783-0    ;Alkaline phosphatase [Enzymatic activity/volume] in Blood                                                                ;=       ;10026     ;Alkalische Phosphatase.Li-Heparin .photometrisch               ;U/L            ;x*1.0                  ;U/l       ;                        ;         ;
2991-8    ;Testosterone Free [Mass/volume] in Serum or Plasma                                                                       ;=       ;5427      ;freies Testosteron quantitativ.Serum .berechnet                ;pg/mL          ;x*1000.0               ;µg/l      ;288,42442               ;         ;
14914-6   ;Testosterone Free [Moles/volume] in Serum or Plasma                                                                      ;=       ;5427      ;freies Testosteron quantitativ.Serum .berechnet                ;pmol/L         ;x*3467.112805496844    ;µg/l      ;288,42442               ;         ;
2991-8    ;Testosterone Free [Mass/volume] in Serum or Plasma                                                                       ;=       ;10025     ;Eisen.Li-Heparin .photometrisch                                ;pg/mL          ;x*288424.42            ;µmol/l    ;288,42442               ;         ;
14914-6   ;Testosterone Free [Moles/volume] in Serum or Plasma                                                                      ;=       ;10025     ;Eisen.Li-Heparin .photometrisch                                ;pmol/L         ;x*1000000.0            ;µmol/l    ;288,42442               ;         ;
2963-7    ;Somatotropin [Mass/volume] in Serum or Plasma                                                                            ;=       ;5307      ;HGH.Serum .CLIA                                                ;ng/mL          ;x*1.0                  ;µg/l      ;                        ;         ;
24373-3   ;Ferritin [Mass/volume] in Blood                                                                                          ;=       ;10028     ;Ferritin.Li-Heparin .Turbidimetrie                             ;ng/mL          ;x*1.0                  ;µg/l      ;474000                  ;         ;
73958-1   ;Cholesterol esterase [Enzymatic activity/volume] in Dried blood spot                                                     ;=       ;10027     ;Lipase.Li-Heparin .photometrisch                               ;nmol/h/mL      ;x*60.0                 ;U/l       ;                        ;         ;
12841-3   ;Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma                                                  ;=       ;5441      ;Quotient PSA frei/gesamt.Serum .berechnet                      ;%              ;x*1.0                  ;%         ;                        ;         ;
3016-3    ;Thyrotropin [Units/volume] in Serum or Plasma                                                                            ;=       ;5321      ;TSH.Serum .ECLIA                                               ;m[IU]/L        ;x*1.0                  ;mIU/l     ;                        ;         ;
83098-4   ;Follitropin [Units/volume] in Serum or Plasma by Immunoassay                                                             ;=       ;5322      ;Follikel stim. Hormon (FSH).Serum .ECLIA                       ;[IU]/mL        ;x*0.001                ;IU/l      ;                        ;         ;
2484-4    ;Insulin-like growth factor-I [Mass/volume] in Serum or Plasma                                                            ;=       ;5444      ;IGF-1 (DPC).Serum .CLIA                                        ;ng/mL          ;x*1.0                  ;ng/ml     ;7649                    ;         ;
29775-4   ;Insulin-like growth factor-I [Moles/volume] in Serum or Plasma                                                           ;=       ;5444      ;IGF-1 (DPC).Serum .CLIA                                        ;nmol/L         ;x*0.13073604392731078  ;ng/ml     ;7649                    ;         ;
83103-2   ;Lutropin [Units/volume] in Serum or Plasma by Immunoassay                                                                ;=       ;5323      ;Luteinisierendes Hormon (LH).Serum .ECLIA                      ;[IU]/mL        ;x*0.001                ;IU/l      ;                        ;         ;
19049-6   ;Metanephrine [Mass/time] in 24 hour Urine                                                                                ;=       ;650       ;Metanephrin Ausscheidung.Sammelurin sauer.berechnet            ;ug/(24.h)      ;x*1.0                  ;µg/d      ;                        ;         ;
11140-1   ;Metanephrine [Moles/time] in 24 hour Urine                                                                               ;=       ;650       ;Metanephrin Ausscheidung.Sammelurin sauer.berechnet            ;umol/(24.h)    ;x*0.005070             ;µg/d      ;                        ;         ;
27812-7   ;Antithrombin Ag actual/normal in Platelet poor plasma by Immunoassay                                                     ;~       ;894       ;Antithrombin 3.Citrat .photometrisch                           ;%              ;x*1.0                  ;%         ;                        ;         ;
2671-6    ;Normetanephrine [Mass/time] in 24 hour Urine                                                                             ;=       ;652       ;Normetanephrin Ausscheidung.Sammelurin sauer.berechnet         ;ug/(24.h)      ;x*1.0                  ;µg/d      ;                        ;         ;
15083-9   ;Normetanephrine [Moles/time] in 24 hour Urine                                                                            ;=       ;652       ;Normetanephrin Ausscheidung.Sammelurin sauer.berechnet         ;umol/(24.h)    ;x*0.0054583067         ;µg/d      ;                        ;         ;
1992-7    ;Calcitonin [Mass/volume] in Serum or Plasma                                                                              ;=       ;895       ;Calcitonin.Serum .CLIA                                         ;ng/L           ;x*1.0                  ;pg/ml     ;3431,895                ;         ;
15035-9   ;Calcitonin [Moles/volume] in Serum or Plasma                                                                             ;=       ;895       ;Calcitonin.Serum .CLIA                                         ;pmol/L         ;x*0.29138420610187665  ;pg/ml     ;3431,895                ;         ;
1695-6    ;5-Hydroxyindoleacetate [Mass/time] in 24 hour Urine                                                                      ;=       ;654       ;5-Hydroxyindolessigsäure Aussch..Sammelurin sauer.berechnet    ;mg/(24.h)      ;x*1.0                  ;mg/d      ;191,18                  ;         ;
